# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TX, T10N
# 
  380,20160205,   82,  101,   14
  380,20160206,   95,  111,   67
  380,20160207,   83,  112,   52
  380,20160208,   82,  101,   61
  380,20160209,   55,  107,   22
  380,20160210,   37,   51,   23
  380,20160211,   42,   69,   12
  380,20160212,   28,   57,  -36
  380,20160213,   14,   42,  -45
  380,20160214,   18,   29,    1
  380,20160215,    9,   44,  -47
  380,20160216,   -8,   34,  -70
  380,20160217,    0,   43,  -78
  380,20160218,   22,   55,  -30
  380,20160219,   33,   77,    1
  380,20160220,   79,  109,   40
  380,20160221,  107,  120,   96
  380,20160222,   71,  106,   30
  380,20160223,   32,   80,   -6
  380,20160224,   23,   64,  -46
  380,20160225,    8,   60,  -50
  380,20160226,   23,   53,  -20
  380,20160227,   26,   72,  -11
  380,20160228,   17,   56,  -25
  380,20160229,   15,   68,  -57
  380,20160301,   14,   59,  -67
  380,20160302,   56,   95,   23
  380,20160303,   31,   70,  -13
  380,20160304,   31,   51,  -24
  380,20160305,   22,   47,  -14
  380,20160306,   21,   53,  -11
  380,20160307,   18,   49,  -38
  380,20160308,   18,   55,  -36
  380,20160309,   42,   84,  -12
  380,20160310,   38,   95,  -45
  380,20160311,   42,   98,  -29
